Gene,Liver_nTPM,Brain_nTPM
ALB,198523.8,0
MT-ATP8,150369.2,0
MT-ATP6,105626.8,0
MT-CO2,104658.5,0
MT-ND4,99476.1,0
MT-CO1,96595.8,0
MT-CO3,95172,0
MT-ND4L,75489.3,0
MT-ND3,70971.7,0
MT-CYB,57549.2,0
HP,55848.1,0
SAA1,54032.7,0
MT-ND2,52139.7,0
MT-ND1,43915.3,0
ORM1,42168.4,0
APOA2,33506.8,0
SAA2,31118.2,0
APOC3,28690.9,0
APOA1,20151,0
TTR,19858.2,0
APOC1,18659.9,0
FGA,17201.5,0
APOH,16781.5,0
FGB,16764.8,0
MT2A,15847.5,0
FGG,15475.1,0
FTL,14257.7,0
FABP1,12176.2,0
RBP4,11054,0
MT-ND6,10887.1,0
ALDOB,10467.2,0
AMBP,10227.4,0
CYP2E1,9697,0
MT-ND5,9524.4,0
CLU,9103.3,0
APOC2,8987.5,0
CRP,8524.7,0
SERPINA3,8462.6,0
ORM2,8192.9,0
GC,7722,0
APOE,6533.9,0
MT1G,6501.2,0
TPT1,6405.4,0
EEF1A1,6037.8,0
SELENOP,5860.1,0
ADH1B,5476.4,0
AHSG,5439.8,0
HRG,5081,0
C3,5062.4,0
HPX,4942.7,0
ADH4,4815.9,0
SERPINC1,4726.5,0
MT1X,4654,0
RPL41,4053.8,0
FGL1,3863.2,0
HAMP,3623.6,0
RPS27,3575.1,0
APCS,3389.4,0
CYP3A4,3367.1,0
FTH1,3283.9,0
IFITM3,3237,0
KNG1,2986.1,0
ANG,2816.4,0
UBB,2786.1,0
C1S,2663.1,0
RPS29,2640.2,0
GATM,2621.4,0
AZGP1,2621.1,0
ADH1A,2559.5,0
PLG,2479.5,0
GSTA1,2438.9,0
RPL10,2399.7,0
ATF5,2375.4,0
CFB,2370.8,0
RPS19,2369.1,0
HPD,2365.4,0
GAPDH,2360.5,0
CES1,2354.1,0
CYB5A,2306.7,0
TMSB4X,2200.6,0
RPL30,2188.8,0
RPL13,2105.1,0
SAA4,2067.9,0
RPS24,2058.2,0
RPL39,2056.8,0
ITIH2,2016.4,0
CYP2C8,2014.2,0
RPS12,1998.6,0
RPS11,1973,0
RPL37A,1969.9,0
PEBP1,1946.9,0
CFHR1,1937.3,0
RPL3,1932.9,0
GSTA2,1924.8,0
DCXR,1923.6,0
ASS1,1907.1,0
RPS20,1905.2,0
ACTB,1895.2,0
HBB,1882.9,0
PLA2G2A,1824,0
RPLP0,1795,0
C4BPA,1793.3,0
MT1E,1743.4,0
ITIH4,1743,0
C1R,1733.3,0
RPL26,1701,0
