GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter
Abca1,ABCA1,Daneman,lung_only
Abca5,ABCA5,Daneman,liver_only
Abca9,ABCA9,Daneman,liver_and_lung
Abcb1a,ABCB1,Both,liver_only
Abcc4,ABCC4,Both,liver_only
Abcc6,ABCC6,Munji,NA
Abcc9,ABCC9,Daneman,liver_and_lung
Abcg1,ABCG1,Daneman,lung_only
Abcg2,ABCG2,Munji,NA
Abhd2,ABHD2,Munji,NA
Abl2,ABL2,Daneman,lung_only
Ablim1,ABLIM1,Both,liver_only
Acaa2,ACAA2,Daneman,lung_only
Acacb,ACACB,Munji,NA
Acadl,ACADL,Daneman,lung_only
Acat2,ACAT2,Munji,NA
Acbd5,ACBD5,Daneman,liver_only
Ace,ACE,Daneman,liver_only
Ace2,ACE2,Daneman,liver_and_lung
Acot2,ACOT2,Munji,NA
Acot7,ACOT7,Daneman,lung_only
Acsl3,ACSL3,Munji,NA
Acsl6,ACSL6,Daneman,liver_only
Actl6a,ACTL6A,Daneman,lung_only
Acvrl1,ACVRL1,Daneman,liver_only
Adamts4,ADAMTS4,Daneman,lung_only
Adamts9,ADAMTS9,Daneman,lung_only
Adamtsl2,ADAMTSL2,Daneman,lung_only
Adcy9,ADCY9,Both,liver_only
Adh1,ADH1C,Daneman,lung_only
Adipor1,ADIPOR1,Daneman,lung_only
Adipor2,ADIPOR2,Daneman,liver_only
Adk,ADK,Daneman,liver_only
Adm,ADM,Daneman,lung_only
Adrbk2,ADRBK2,Daneman,liver_and_lung
Agpat5,AGPAT5,Daneman,lung_only
Agr2,AGR2,Munji,NA
Agrn,AGRN,Munji,NA
Ahnak,AHNAK,Daneman,liver_only
Akr1b3,AKR1B1,Daneman,liver_and_lung
Alas1,ALAS1,Munji,NA
Alas2,ALAS2,Munji,NA
Aldh1a1,ALDH1A1,Daneman,liver_only
Aldh2,ALDH2,Daneman,liver_only
Aldh4a1,ALDH4A1,Munji,NA
Aldh5a1,ALDH5A1,Munji,NA
Aldh6a1,ALDH6A1,Daneman,liver_only
Alg6,ALG6,Munji,NA
Alox12,ALOX12,Daneman,liver_only
Als2cl,ALS2CL,Daneman,liver_only
Amd1,AMD1,Daneman,liver_only
Amot,AMOT,Both,liver_only
Ampd3,AMPD3,Daneman,liver_only
Angpt2,ANGPT2,Daneman,lung_only
Angptl4,ANGPTL4,Daneman,lung_only
Ankrd12,ANKRD12,Daneman,liver_only
Ankrd46,ANKRD46,Daneman,liver_only
Ankrd6,ANKRD6,Both,liver_only
Anks1,ANKS1A,Daneman,liver_only
Anln,ANLN,Daneman,lung_only
Antxr2,ANTXR2,Daneman,lung_only
Anxa6,ANXA6,Daneman,lung_only
Anxa9,ANXA9,Munji,NA
Aox1,AOX1,Daneman,liver_only
Ap1s1,AP1S1,Daneman,lung_only
Ap2s1,AP2S1,Daneman,lung_only
Ap3m1,AP3M1,Daneman,liver_only
Apcdd1,APCDD1,Both,lung_only
Apex1,APEX1,Daneman,lung_only
Aph1a,APH1A,Both,lung_only
Apln,APLN,Daneman,lung_only
Apod,APOD,Both,lung_only
App,APP,Daneman,liver_only
Aprt,APRT,Daneman,lung_only
Aqp11,AQP11,Both,liver_only
Arf4,ARF4,Daneman,lung_only
Arfgap3,ARFGAP3,Daneman,liver_only
Arhgap12,ARHGAP12,Daneman,liver_only
Arhgap18,ARHGAP18,Daneman,lung_only
Arhgap26,ARHGAP26,Daneman,liver_only
Arhgap6,ARHGAP6,Daneman,liver_only
Arhgef15,ARHGEF15,Daneman,liver_only
Arhgef3,ARHGEF3,Daneman,liver_only
Arhgef7,ARHGEF7,Daneman,lung_only
Arhgef9,ARHGEF9,Munji,NA
Arid4a,ARID4A,Daneman,liver_only
Arid5b,ARID5B,Daneman,liver_only
Arl4a,ARL4A,Munji,NA
Armcx2,ARMCX2,Daneman,lung_only
Arntl,ARNTL,Daneman,liver_only
Art3,ART3,Daneman,liver_and_lung
Asb13,ASB13,Daneman,liver_only
Ash1l,ASH1L,Daneman,liver_only
Aspn,ASPN,Daneman,liver_and_lung
Atf2,ATF2,Daneman,liver_only
Atf4,ATF4,Daneman,liver_only
Atf7ip,ATF7IP,Daneman,liver_only
Atp10a,ATP10A,Both,liver_only
Atp11a,ATP11A,Daneman,liver_only
Atp13a2,ATP13A2,Daneman,lung_only
Atp13a5,ATP13A5,Daneman,liver_and_lung
Atp1a2,ATP1A2,Daneman,liver_and_lung
Atp1b1,ATP1B1,Daneman,lung_only
Atp1b2,ATP1B2,Daneman,liver_and_lung
Atp2a3,ATP2A3,Daneman,liver_and_lung
Atp2c1,ATP2C1,Daneman,liver_only
Atp5a1,ATP5A1,Daneman,lung_only
Atp5d,ATP5D,Daneman,lung_only
Atp5f1,ATP5F1,Daneman,lung_only
Atp5g1,ATP5G1,Daneman,lung_only
Atp5g2,ATP5G2,Daneman,lung_only
Atp5o,ATP5O,Daneman,lung_only
Atp6v0d1,ATP6V0D1,Daneman,lung_only
Atp8a1,ATP8A1,Daneman,liver_only
Atp9a,ATP9A,Daneman,lung_only
Atpif1,ATPIF1,Daneman,lung_only
Axin2,AXIN2,Both,liver_only
B2m,B2M,Daneman,liver_only
B3gnt1,B3GNT1,Daneman,liver_only
B4galt4,B4GALT4,Munji,NA
Baiap2l1,BAIAP2L1,Munji,NA
Bambi,BAMBI,Daneman,lung_only
Banf1,BANF1,Daneman,lung_only
Basp1,BASP1,Daneman,lung_only
Baz1a,BAZ1A,Daneman,lung_only
Bche,BCHE,Both,liver_only
Bcl10,BCL10,Daneman,lung_only
Bcl2l1,BCL2L1,Daneman,liver_only
Bcl6,BCL6,Daneman,liver_only
Bcl6b,BCL6B,Daneman,lung_only
Bcr,BCR,Daneman,lung_only
Bend5,BEND5,Munji,NA
Bgn,BGN,Daneman,liver_and_lung
Bin1,BIN1,Daneman,lung_only
Bmp1,BMP1,Daneman,lung_only
Bmp2,BMP2,Daneman,lung_only
Bmp2k,BMP2K,Daneman,lung_only
Bmpr1a,BMPR1A,Daneman,liver_and_lung
Bmpr2,BMPR2,Daneman,liver_only
Bnip1,BNIP1,Munji,NA
Bnip3,BNIP3,Daneman,liver_only
Bop1,BOP1,Daneman,lung_only
Bpgm,BPGM,Daneman,lung_only
Bsg,BSG,Munji,NA
Bspry,BSPRY,Munji,NA
Btbd11,BTBD11,Daneman,lung_only
Btf3,BTF3,Daneman,lung_only
Btf3l4,BTF3L4,Daneman,lung_only
Btg2,BTG2,Daneman,liver_only
Bzw1,BZW1,Daneman,lung_only
8430408G22Rik,C10ORF10,Daneman,liver_only
2700094K13Rik,C11ORF31,Daneman,lung_only
AI462493,C11ORF83,Daneman,lung_only
Grcc10,C12ORF57,Daneman,lung_only
2010107E04Rik,C14ORF2,Daneman,lung_only
BC030336,C16ORF52,Daneman,liver_only
AI467606,C16ORF54,Daneman,liver_and_lung
AU021092,C16ORF89,Daneman,lung_only
0610010K14Rik,C17ORF49,Daneman,lung_only
2410015M20Rik,C19ORF70,Daneman,lung_only
C130074G19Rik,C1ORF115,Munji,NA
2810004N23Rik,C1ORF131,Munji,NA
2310022B05Rik,C1ORF198,Munji,NA
Gm694,C1ORF64,Munji,NA
A130010J15Rik,C1ORF74,Munji,NA
C1qbp,C1QBP,Daneman,lung_only
3010026O09Rik,C5ORF45,Daneman,liver_only
3110082I17Rik,C7ORF50,Daneman,lung_only
1810011O10Rik,C8ORF4,Daneman,liver_only
Car2,CA2,Daneman,lung_only
Cab39l,CAB39L,Daneman,liver_only
Cables1,CABLES1,Daneman,liver_only
Cabyr,CABYR,Munji,NA
Cachd1,CACHD1,Both,lung_only
Capn2,CAPN2,Daneman,liver_only
Capzb,CAPZB,Daneman,lung_only
Card10,CARD10,Daneman,liver_only
Caskin2,CASKIN2,Daneman,liver_only
Casp3,CASP3,Daneman,lung_only
Casp6,CASP6,Daneman,lung_only
Casp7,CASP7,Daneman,lung_only
Casp8,CASP8,Daneman,lung_only
Casp8ap2,CASP8AP2,Daneman,liver_only
Casq2,CASQ2,Daneman,liver_and_lung
Cast,CAST,Daneman,liver_only
Cat,CAT,Daneman,lung_only
Cav2,CAV2,Daneman,liver_only
Cbr3,CBR3,Daneman,liver_only
Ccdc106,CCDC106,Munji,NA
Ccdc141,CCDC141,Munji,NA
Ccdc23,CCDC23,Daneman,lung_only
Ccdc28a,CCDC28A,Daneman,liver_only
Ccdc28b,CCDC28B,Daneman,lung_only
Ccdc61,CCDC61,Munji,NA
Ccdc85c,CCDC85C,Munji,NA
Ccdc92,CCDC92,Munji,NA
Ccnd1,CCND1,Daneman,lung_only
Ccnd2,CCND2,Daneman,lung_only
Ccng2,CCNG2,Munji,NA
Cct2,CCT2,Daneman,lung_only
Cd1d1,CD1D,Daneman,lung_only
Cd200,CD200,Daneman,liver_only
Cd248,CD248,Daneman,liver_and_lung
Cd2ap,CD2AP,Daneman,liver_only
Cd302,CD302,Daneman,liver_and_lung
Cd320,CD320,Both,lung_only
Cd38,CD38,Daneman,lung_only
Cd3eap,CD3EAP,Munji,NA
Cd40,CD40,Daneman,lung_only
Cd47,CD47,Daneman,liver_only
Cd82,CD82,Daneman,lung_only
Cdc14a,CDC14A,Daneman,liver_only
Cdc20,CDC20,Daneman,lung_only
Cdc23,CDC23,Daneman,liver_and_lung
Cdc37l1,CDC37L1,Daneman,liver_only
Cdc42ep3,CDC42EP3,Munji,NA
Cdc42se1,CDC42SE1,Munji,NA
Cdca4,CDCA4,Daneman,lung_only
Cdca8,CDCA8,Daneman,lung_only
Cdh11,CDH11,Daneman,liver_and_lung
Cdh2,CDH2,Both,lung_only
Cdipt,CDIPT,Daneman,lung_only
Cdk4,CDK4,Daneman,lung_only
Cdk5rap3,CDK5RAP3,Daneman,lung_only
Cdr2,CDR2,Daneman,lung_only
Cds2,CDS2,Daneman,liver_only
Cdv3,CDV3,Daneman,lung_only
Ceacam2,CEACAM1,Both,liver_only
Cebpg,CEBPG,Daneman,liver_only
Cenpa,CENPA,Daneman,lung_only
Cep164,CEP164,Munji,NA
Cep97,CEP97,Munji,NA
Cept1,CEPT1,Daneman,liver_only
Cerk,CERK,Daneman,lung_only
Cfh,CFH,Daneman,liver_only
Cflar,CFLAR,Daneman,liver_only
Cggbp1,CGGBP1,Daneman,lung_only
Ch25h,CH25H,Daneman,liver_only
Chd6,CHD6,Daneman,liver_only
Chmp6,CHMP6,Daneman,lung_only
Chn2,CHN2,Daneman,liver_only
Chst1,CHST1,Daneman,lung_only
Chst7,CHST7,Daneman,lung_only
Ckap4,CKAP4,Daneman,lung_only
Cklf,CKLF,Daneman,lung_only
Cks1b,CKS1B,Daneman,lung_only
Cks2,CKS2,Daneman,lung_only
Clcc1,CLCC1,Daneman,liver_only
Cldn6,CLDN6,Munji,NA
Clec14a,CLEC14A,Daneman,lung_only
Clec1a,CLEC1A,Daneman,lung_only
Clic4,CLIC4,Daneman,liver_only
Clic5,CLIC5,Daneman,liver_only
Clock,CLOCK,Daneman,liver_only
Clstn1,CLSTN1,Daneman,liver_only
Clta,CLTA,Daneman,lung_only
Cnih4,CNIH4,Daneman,liver_only
Cnn3,CNN3,Daneman,lung_only
Cnnm2,CNNM2,Munji,NA
Cnot6l,CNOT6L,Munji,NA
Cnot8,CNOT8,Daneman,lung_only
Cnr2,CNR2,Daneman,lung_only
Cntrob,CNTROB,Munji,NA
Cobll1,COBLL1,Munji,NA
Col14a1,COL14A1,Daneman,liver_only
Col18a1,COL18A1,Daneman,lung_only
Col1a2,COL1A2,Daneman,liver_and_lung
Col3a1,COL3A1,Daneman,liver_and_lung
Col4a2,COL4A2,Daneman,lung_only
Col4a3bp,COL4A3BP,Both,liver_only
Col5a2,COL5A2,Daneman,liver_and_lung
Gm684,COLCA2,Munji,NA
Commd3,COMMD3,Daneman,lung_only
Commd4,COMMD4,Daneman,lung_only
Commd8,COMMD8,Daneman,lung_only
Cops4,COPS4,Daneman,lung_only
Cops5,COPS5,Daneman,lung_only
Cops6,COPS6,Daneman,lung_only
Copz2,COPZ2,Daneman,liver_only
Coq7,COQ7,Daneman,lung_only
Coro1a,CORO1A,Daneman,lung_only
Coro1c,CORO1C,Daneman,lung_only
Cotl1,COTL1,Daneman,lung_only
Cp,CP,Daneman,liver_only
Cpd,CPD,Daneman,liver_only
Cpe,CPE,Daneman,lung_only
Cpm,CPM,Daneman,liver_and_lung
Crem,CREM,Daneman,lung_only
Crim1,CRIM1,Daneman,liver_only
Crip1,CRIP1,Daneman,liver_only
Crispld1,CRISPLD1,Daneman,liver_only
Crispld2,CRISPLD2,Daneman,liver_and_lung
Crk,CRK,Daneman,lung_only
Crmp1,CRMP1,Daneman,lung_only
Csf1,CSF1,Daneman,lung_only
Csnk1a1,CSNK1A1,Daneman,liver_only
Csnk1d,CSNK1D,Daneman,lung_only
Csnk1g2,CSNK1G2,Daneman,lung_only
Csnk2b,CSNK2B,Daneman,lung_only
Cspg4,CSPG4,Daneman,liver_and_lung
Csrp1,CSRP1,Daneman,lung_only
Csrp2,CSRP2,Daneman,lung_only
Cstf2t,CSTF2T,Daneman,liver_only
Ctdspl,CTDSPL,Daneman,liver_and_lung
Ctgf,CTGF,Daneman,liver_only
Ctnnbl1,CTNNBL1,Daneman,lung_only
Ctnnd2,CTNND2,Daneman,liver_only
Ctsk,CTSK,Daneman,lung_only
Ctsw,CTSW,Daneman,lung_only
Cuedc1,CUEDC1,Daneman,liver_only
Cwf19l2,CWF19L2,Daneman,liver_only
Cx3cl1,CX3CL1,Daneman,liver_only
Cxcl12,CXCL12,Both,liver_only
Cxcl1,CXCL2,Daneman,lung_only
Cxcl2,CXCL3,Daneman,lung_only
Cxcr4,CXCR4,Daneman,lung_only
Cxxc5,CXXC5,Daneman,lung_only
Cyb561,CYB561,Daneman,liver_only
Cyba,CYBA,Daneman,lung_only
Cyp26b1,CYP26B1,Daneman,liver_only
Cyp4v3,CYP4V2,Daneman,liver_only
Cyr61,CYR61,Both,liver_only
Daam1,DAAM1,Daneman,liver_and_lung
Daam2,DAAM2,Daneman,liver_and_lung
Dab2,DAB2,Daneman,lung_only
Dab2ip,DAB2IP,Daneman,liver_only
Dad1,DAD1,Daneman,lung_only
Dagla,DAGLA,Munji,NA
Dars,DARS,Daneman,lung_only
Dbp,DBP,Daneman,liver_only
Dcbld1,DCBLD1,Daneman,lung_only
Dcbld2,DCBLD2,Daneman,liver_only
Dck,DCK,Daneman,lung_only
Dcun1d3,DCUN1D3,Both,liver_only
Ddah2,DDAH2,Daneman,lung_only
Ddc,DDC,Both,liver_only
Ddi1,DDI1,Munji,NA
Ddx1,DDX1,Daneman,lung_only
Ddx19a,DDX19A,Daneman,lung_only
Ddx39,DDX39A,Daneman,lung_only
Def6,DEF6,Munji,NA
Degs1,DEGS1,Daneman,lung_only
Degs2,DEGS2,Both,liver_only
Dennd2a,DENND2A,Daneman,liver_and_lung
Dera,DERA,Daneman,lung_only
Dhcr7,DHCR7,Munji,NA
Diap1,DIAPH1,Daneman,liver_only
Dixdc1,DIXDC1,Both,liver_only
Dll1,DLL1,Daneman,liver_only
Dll4,DLL4,Daneman,lung_only
Dmd,DMD,Daneman,liver_and_lung
Dmxl2,DMXL2,Daneman,liver_only
Dnaja4,DNAJA4,Daneman,liver_only
Dnajb1,DNAJB1,Daneman,liver_only
Dnajc14,DNAJC14,Munji,NA
Dnmt3b,DNMT3B,Daneman,lung_only
Dock10,DOCK10,Daneman,liver_and_lung
Dock11,DOCK11,Daneman,lung_only
Dok4,DOK4,Daneman,lung_only
Dsp,DSP,Daneman,liver_only
Dusp2,DUSP2,Daneman,lung_only
Dusp4,DUSP4,Daneman,lung_only
Dusp6,DUSP6,Munji,NA
Dut,DUT,Daneman,lung_only
Dvl1,DVL1,Daneman,liver_only
Dvl3,DVL3,Munji,NA
Dyrk2,DYRK2,Daneman,lung_only
Dysf,DYSF,Daneman,lung_only
Ebf1,EBF1,Daneman,liver_only
Edn1,EDN1,Daneman,liver_only
Edn3,EDN3,Munji,NA
Ednra,EDNRA,Daneman,liver_and_lung
Eef2,EEF2,Daneman,lung_only
Efhc2,EFHC2,Munji,NA
Efhd2,EFHD2,Daneman,liver_and_lung
Efnb1,EFNB1,Daneman,liver_only
Efr3b,EFR3B,Munji,NA
Eftud2,EFTUD2,Munji,NA
Egfl8,EGFL8,Daneman,lung_only
Egr3,EGR3,Munji,NA
Eif2b2,EIF2B2,Daneman,lung_only
Eif2s2,EIF2S2,Daneman,lung_only
Eif4a1,EIF4A1,Daneman,lung_only
Eif4e2,EIF4E2,Daneman,lung_only
Eif5,EIF5,Daneman,liver_only
Eif5a,EIF5A,Daneman,lung_only
Elavl1,ELAVL1,Daneman,liver_and_lung
Elovl6,ELOVL6,Daneman,lung_only
Elovl7,ELOVL7,Both,liver_only
Eltd1,ELTD1,Daneman,liver_only
Eml2,EML2,Munji,NA
Emp2,EMP2,Daneman,liver_only
Enc1,ENC1,Munji,NA
Enpep,ENPEP,Daneman,liver_and_lung
Enpp4,ENPP4,Daneman,liver_only
Eny2,ENY2,Daneman,lung_only
Epb4.1l2,EPB41L2,Daneman,liver_and_lung
Epc1,EPC1,Daneman,liver_only
Epc2,EPC2,Daneman,liver_only
Epha4,EPHA4,Daneman,liver_only
