GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,In_Walchli_EC,In_Yang_EC,In_Winkler_EC,Human_BBB_Datasets_N
Abca1,ABCA1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Abca5,ABCA5,Daneman,liver_only,TRUE,FALSE,FALSE,1
Abca9,ABCA9,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Abcb1a,ABCB1,Both,liver_only,TRUE,FALSE,TRUE,2
Abcc4,ABCC4,Both,liver_only,TRUE,TRUE,TRUE,3
Abcc6,ABCC6,Munji,NA,TRUE,FALSE,FALSE,1
Abcc9,ABCC9,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Abcg1,ABCG1,Daneman,lung_only,TRUE,FALSE,TRUE,2
Abcg2,ABCG2,Munji,NA,TRUE,TRUE,TRUE,3
Abhd2,ABHD2,Munji,NA,TRUE,FALSE,FALSE,1
Abl2,ABL2,Daneman,lung_only,TRUE,TRUE,FALSE,2
Ablim1,ABLIM1,Both,liver_only,TRUE,FALSE,TRUE,2
Acaa2,ACAA2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Acacb,ACACB,Munji,NA,TRUE,FALSE,TRUE,2
Acadl,ACADL,Daneman,lung_only,TRUE,FALSE,FALSE,1
Acat2,ACAT2,Munji,NA,TRUE,FALSE,FALSE,1
Acbd5,ACBD5,Daneman,liver_only,TRUE,FALSE,FALSE,1
Ace,ACE,Daneman,liver_only,TRUE,FALSE,FALSE,1
Ace2,ACE2,Daneman,liver_and_lung,FALSE,FALSE,FALSE,0
Acot2,ACOT2,Munji,NA,TRUE,FALSE,FALSE,1
Acot7,ACOT7,Daneman,lung_only,TRUE,FALSE,FALSE,1
Acsl3,ACSL3,Munji,NA,TRUE,FALSE,FALSE,1
Acsl6,ACSL6,Daneman,liver_only,TRUE,FALSE,FALSE,1
Actl6a,ACTL6A,Daneman,lung_only,TRUE,FALSE,FALSE,1
Acvrl1,ACVRL1,Daneman,liver_only,TRUE,FALSE,TRUE,2
Adamts4,ADAMTS4,Daneman,lung_only,TRUE,FALSE,FALSE,1
Adamts9,ADAMTS9,Daneman,lung_only,TRUE,TRUE,FALSE,2
Adamtsl2,ADAMTSL2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Adcy9,ADCY9,Both,liver_only,TRUE,FALSE,FALSE,1
Adh1,ADH1C,Daneman,lung_only,TRUE,FALSE,FALSE,1
Adipor1,ADIPOR1,Daneman,lung_only,TRUE,FALSE,FALSE,1
Adipor2,ADIPOR2,Daneman,liver_only,TRUE,FALSE,TRUE,2
Adk,ADK,Daneman,liver_only,TRUE,FALSE,FALSE,1
Adm,ADM,Daneman,lung_only,TRUE,FALSE,FALSE,1
Adrbk2,ADRBK2,Daneman,liver_and_lung,FALSE,FALSE,FALSE,0
Agpat5,AGPAT5,Daneman,lung_only,TRUE,FALSE,FALSE,1
Agr2,AGR2,Munji,NA,FALSE,FALSE,FALSE,0
Agrn,AGRN,Munji,NA,TRUE,FALSE,TRUE,2
Ahnak,AHNAK,Daneman,liver_only,TRUE,FALSE,FALSE,1
Akr1b3,AKR1B1,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1
Alas1,ALAS1,Munji,NA,TRUE,FALSE,FALSE,1
Alas2,ALAS2,Munji,NA,TRUE,FALSE,FALSE,1
Aldh1a1,ALDH1A1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Aldh2,ALDH2,Daneman,liver_only,TRUE,FALSE,FALSE,1
Aldh4a1,ALDH4A1,Munji,NA,TRUE,FALSE,FALSE,1
Aldh5a1,ALDH5A1,Munji,NA,TRUE,FALSE,FALSE,1
Aldh6a1,ALDH6A1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Alg6,ALG6,Munji,NA,TRUE,FALSE,FALSE,1
Alox12,ALOX12,Daneman,liver_only,FALSE,FALSE,FALSE,0
Als2cl,ALS2CL,Daneman,liver_only,TRUE,FALSE,FALSE,1
Amd1,AMD1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Amot,AMOT,Both,liver_only,TRUE,FALSE,FALSE,1
Ampd3,AMPD3,Daneman,liver_only,TRUE,FALSE,FALSE,1
Angpt2,ANGPT2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Angptl4,ANGPTL4,Daneman,lung_only,TRUE,FALSE,FALSE,1
Ankrd12,ANKRD12,Daneman,liver_only,TRUE,FALSE,FALSE,1
Ankrd46,ANKRD46,Daneman,liver_only,TRUE,FALSE,FALSE,1
Ankrd6,ANKRD6,Both,liver_only,TRUE,FALSE,FALSE,1
Anks1,ANKS1A,Daneman,liver_only,TRUE,FALSE,TRUE,2
Anln,ANLN,Daneman,lung_only,TRUE,FALSE,FALSE,1
Antxr2,ANTXR2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Anxa6,ANXA6,Daneman,lung_only,TRUE,FALSE,TRUE,2
Anxa9,ANXA9,Munji,NA,TRUE,FALSE,FALSE,1
Aox1,AOX1,Daneman,liver_only,FALSE,FALSE,FALSE,0
