HumanEnsembl,Orthologue,OrthoType,PercId
ENSG00000107758,ENSMMUG00000015714,ortholog_one2one,99.6183
ENSG00000107771,ENSMMUG00000019720,ortholog_one2one,96.6571
ENSG00000107796,ENSMMUG00000009341,ortholog_one2one,100
ENSG00000107798,ENSMMUG00000056618,ortholog_one2one,97.995
ENSG00000107816,ENSMMUG00000010674,ortholog_one2one,98.9537
ENSG00000107829,ENSMMUG00000052198,ortholog_one2one,97.0018
ENSG00000107833,ENSMMUG00000015774,ortholog_one2one,98.8764
ENSG00000107854,ENSMMUG00000007478,ortholog_one2one,94.8542
ENSG00000107862,ENSMMUG00000002985,ortholog_one2one,97.2043
ENSG00000107863,ENSMMUG00000016123,ortholog_one2one,98.2125
ENSG00000107864,ENSMMUG00000015050,ortholog_one2one,98.9971
ENSG00000107872,ENSMMUG00000056510,ortholog_one2one,98
ENSG00000107874,ENSMMUG00000055748,ortholog_one2many,84.3206
ENSG00000107902,ENSMMUG00000015215,ortholog_one2one,85.9259
ENSG00000107937,ENSMMUG00000010813,ortholog_one2one,90.694
ENSG00000107949,ENSMMUG00000046184,ortholog_one2one,56.051
ENSG00000107957,ENSMMUG00000007067,ortholog_one2one,96.7343
ENSG00000107960,ENSMMUG00000015323,ortholog_one2one,97.2826
ENSG00000107968,ENSMMUG00000004930,ortholog_one2one,99.5717
ENSG00000108010,ENSMMUG00000018429,ortholog_one2one,98.806
ENSG00000108039,ENSMMUG00000015117,ortholog_one2one,98.1982
ENSG00000108055,ENSMMUG00000007982,ortholog_one2one,98.0279
ENSG00000108061,ENSMMUG00000017206,ortholog_one2one,98.6254
ENSG00000108064,ENSMMUG00000019829,ortholog_one2one,86.5854
ENSG00000108091,ENSMMUG00000018198,ortholog_one2one,99.789
ENSG00000108094,ENSMMUG00000002469,ortholog_one2one,100
ENSG00000108100,ENSMMUG00000006713,ortholog_one2one,100
ENSG00000108106,ENSMMUG00000016507,ortholog_one2one,99.5496
ENSG00000108107,ENSMMUG00000002324,ortholog_one2one,99.2701
ENSG00000108175,ENSMMUG00000008790,ortholog_one2one,91.7526
ENSG00000108176,ENSMMUG00000055640,ortholog_one2one,83.3333
ENSG00000108179,ENSMMUG00000003189,ortholog_one2one,97.1014
ENSG00000108187,ENSMMUG00000015125,ortholog_one2one,95.4861
ENSG00000108219,ENSMMUG00000013895,ortholog_one2one,91.4815
ENSG00000108256,ENSMMUG00000012856,ortholog_one2one,98.9928
ENSG00000108298,ENSMMUG00000004235,ortholog_one2one,100
ENSG00000108312,ENSMMUG00000019924,ortholog_one2one,100
ENSG00000108344,ENSMMUG00000020382,ortholog_one2one,99.4382
ENSG00000108349,ENSMMUG00000045187,ortholog_one2one,96.8706
ENSG00000108352,ENSMMUG00000015160,ortholog_one2one,87.9154
ENSG00000108381,ENSMMUG00000056697,ortholog_one2one,96.8051
ENSG00000108387,ENSMMUG00000065117,ortholog_one2one,50.502
ENSG00000108389,ENSMMUG00000046171,ortholog_one2one,98.4285
ENSG00000108406,ENSMMUG00000063317,ortholog_one2one,99.3582
ENSG00000108433,ENSMMUG00000018689,ortholog_one2one,84.434
ENSG00000108439,ENSMMUG00000003325,ortholog_one2one,98.0843
ENSG00000108443,ENSMMUG00000019305,ortholog_one2one,100
ENSG00000108468,ENSMMUG00000019882,ortholog_one2one,100
ENSG00000108469,ENSMMUG00000021635,ortholog_one2one,92.1292
ENSG00000108474,ENSMMUG00000030296,ortholog_one2one,96.0317
ENSG00000108479,ENSMMUG00000021765,ortholog_one2one,92.602
ENSG00000108509,ENSMMUG00000009176,ortholog_one2one,95.5907
ENSG00000108510,ENSMMUG00000023750,ortholog_one2one,98.896
ENSG00000108515,ENSMMUG00000012040,ortholog_one2one,99.3088
ENSG00000108523,ENSMMUG00000002769,ortholog_one2one,98.2857
ENSG00000108528,ENSMMUG00000002765,ortholog_one2one,93.949
ENSG00000108551,ENSMMUG00000006493,ortholog_one2one,99.2883
ENSG00000108559,ENSMMUG00000010467,ortholog_one2one,96.7611
ENSG00000108578,ENSMMUG00000001026,ortholog_one2one,98.4615
ENSG00000108587,ENSMMUG00000023698,ortholog_one2one,72.1774
ENSG00000108588,ENSMMUG00000016761,ortholog_one2one,99.793
ENSG00000108590,ENSMMUG00000058158,ortholog_one2one,100
ENSG00000108591,ENSMMUG00000021409,ortholog_one2one,91.7582
ENSG00000108592,ENSMMUG00000016768,ortholog_one2one,96.222
ENSG00000108604,ENSMMUG00000016771,ortholog_one2one,88.512200000000007
ENSG00000108622,ENSMMUG00000050536,ortholog_one2one,84.7273
ENSG00000108639,ENSMMUG00000021864,ortholog_one2one,96.875
ENSG00000108651,ENSMMUG00000020403,ortholog_one2one,97.4874
ENSG00000108654,ENSMMUG00000009463,ortholog_one2one,98.3713
