gene_id,canonical_tx
ENSG00000210049,ENST00000387314
ENSG00000211459,ENST00000389680
ENSG00000210077,ENST00000387342
ENSG00000210082,ENST00000387347
ENSG00000209082,ENST00000386347
ENSG00000198888,ENST00000361390
ENSG00000210100,ENST00000387365
ENSG00000210107,ENST00000387372
ENSG00000210112,ENST00000387377
ENSG00000198763,ENST00000361453
ENSG00000210117,ENST00000387382
ENSG00000210127,ENST00000387392
ENSG00000210135,ENST00000387400
ENSG00000210140,ENST00000387405
ENSG00000210144,ENST00000387409
ENSG00000198804,ENST00000361624
ENSG00000210151,ENST00000387416
ENSG00000210154,ENST00000387419
ENSG00000198712,ENST00000361739
ENSG00000210156,ENST00000387421
ENSG00000228253,ENST00000361851
ENSG00000198899,ENST00000361899
ENSG00000198938,ENST00000362079
ENSG00000210164,ENST00000387429
ENSG00000198840,ENST00000361227
ENSG00000210174,ENST00000387439
ENSG00000212907,ENST00000361335
ENSG00000198886,ENST00000361381
ENSG00000210176,ENST00000387441
ENSG00000210184,ENST00000387449
ENSG00000210191,ENST00000387456
ENSG00000198786,ENST00000361567
ENSG00000198695,ENST00000361681
ENSG00000210194,ENST00000387459
ENSG00000198727,ENST00000361789
ENSG00000210195,ENST00000387460
ENSG00000210196,ENST00000387461
ENSG00000299200,ENST00000761542
ENSG00000308964,ENST00000837528
ENSG00000309338,ENST00000840362
ENSG00000295063,ENST00000727716
ENSG00000309357,ENST00000840514
ENSG00000309229,ENST00000839739
ENSG00000310277,ENST00000848702
ENSG00000304745,ENST00000805939
ENSG00000297844,ENST00000751368
ENSG00000309258,ENST00000839853
ENSG00000303173,ENST00000792413
ENSG00000278457,ENST00000620265
ENSG00000278704,ENST00000618686
ENSG00000278625,ENST00000616830
ENSG00000276197,ENST00000619317
ENSG00000278294,ENST00000611690
ENSG00000274917,ENST00000611446
ENSG00000294644,ENST00000724920
ENSG00000296902,ENST00000743439
ENSG00000278573,ENST00000615362
ENSG00000307034,ENST00000823014
ENSG00000273730,ENST00000619779
ENSG00000273937,ENST00000614535
ENSG00000308580,ENST00000835177
ENSG00000296546,ENST00000740255
ENSG00000297619,ENST00000749345
ENSG00000300051,ENST00000768434
ENSG00000296713,ENST00000741285
ENSG00000305511,ENST00000811422
ENSG00000305525,ENST00000811524
ENSG00000306721,ENST00000820381
ENSG00000300074,ENST00000768677
ENSG00000300093,ENST00000768746
ENSG00000303867,ENST00000797658
ENSG00000277196,ENST00000621424
ENSG00000300846,ENST00000774500
ENSG00000271254,ENST00000612640
ENSG00000307470,ENST00000826472
ENSG00000303750,ENST00000796966
ENSG00000301573,ENST00000779919
ENSG00000278817,ENST00000613204
ENSG00000276017,ENST00000617983
ENSG00000277630,ENST00000616049
ENSG00000302039,ENST00000783549
ENSG00000301587,ENST00000780022
ENSG00000297072,ENST00000745172
ENSG00000278793,ENST00000616468
ENSG00000298861,ENST00000758506
ENSG00000301131,ENST00000776511
ENSG00000303733,ENST00000796777
ENSG00000305236,ENST00000809737
ENSG00000308643,ENST00000835512
ENSG00000309233,ENST00000839746
ENSG00000277428,ENST00000618679
ENSG00000276256,ENST00000612465
ENSG00000295668,ENST00000731702
ENSG00000303853,ENST00000797498
ENSG00000303221,ENST00000792862
ENSG00000307061,ENST00000823175
ENSG00000278384,ENST00000612565
ENSG00000307722,ENST00000828164
ENSG00000310401,ENST00000849557
ENSG00000309831,ENST00000844178
ENSG00000301761,ENST00000781425
ENSG00000306744,ENST00000820642
ENSG00000306767,ENST00000820894
ENSG00000275987,ENST00000618083
ENSG00000308844,ENST00000836772
ENSG00000268674,ENST00000601199
ENSG00000277475,ENST00000612315
ENSG00000275405,ENST00000619109
ENSG00000275063,ENST00000618003
ENSG00000298139,ENST00000753228
ENSG00000277856,ENST00000619729
ENSG00000295160,ENST00000728336
ENSG00000298751,ENST00000757730
ENSG00000277400,ENST00000613230
ENSG00000276711,ENST00000621409
ENSG00000298769,ENST00000757878
ENSG00000274847,ENST00000400754
ENSG00000302961,ENST00000790730
ENSG00000296348,ENST00000738464
ENSG00000296732,ENST00000741402
ENSG00000301091,ENST00000776063
ENSG00000298772,ENST00000757881
ENSG00000307824,ENST00000829179
ENSG00000303154,ENST00000792225
ENSG00000303902,ENST00000797946
ENSG00000307077,ENST00000823333
ENSG00000304792,ENST00000806306
ENSG00000304816,ENST00000806429
ENSG00000298153,ENST00000753394
ENSG00000303875,ENST00000797768
ENSG00000275661,ENST00000614351
ENSG00000303892,ENST00000797914
ENSG00000276351,ENST00000617089
ENSG00000310347,ENST00000849220
ENSG00000276345,ENST00000612848
ENSG00000303912,ENST00000798064
ENSG00000273532,ENST00000612801
ENSG00000293919,ENST00000719889
ENSG00000294171,ENST00000721626
ENSG00000298169,ENST00000753504
ENSG00000306528,ENST00000819228
ENSG00000308185,ENST00000832155
ENSG00000298181,ENST00000753708
ENSG00000304845,ENST00000806598
ENSG00000276312,ENST00000615130
ENSG00000276700,ENST00000616292
ENSG00000275757,ENST00000618998
ENSG00000298793,ENST00000758018
ENSG00000273739,ENST00000618675
ENSG00000298142,ENST00000753247
ENSG00000301406,ENST00000778730
ENSG00000307206,ENST00000824539
ENSG00000306938,ENST00000822099
ENSG00000310376,ENST00000849365
ENSG00000297972,ENST00000752237
ENSG00000274175,ENST00000616638
ENSG00000310392,ENST00000849529
ENSG00000277374,ENST00000612925
ENSG00000300519,ENST00000772555
ENSG00000303573,ENST00000795701
ENSG00000273554,ENST00000613216
ENSG00000297432,ENST00000747868
ENSG00000306402,ENST00000817670
ENSG00000273748,ENST00000612919
ENSG00000296581,ENST00000740567
ENSG00000297449,ENST00000747962
ENSG00000304422,ENST00000803246
ENSG00000299314,ENST00000762496
ENSG00000275869,ENST00000621028
ENSG00000294191,ENST00000721803
ENSG00000278510,ENST00000619806
ENSG00000273843,ENST00000618201
ENSG00000277836,ENST00000611746
ENSG00000294926,ENST00000726830
ENSG00000296598,ENST00000740700
ENSG00000295260,ENST00000728904
ENSG00000296618,ENST00000740805
ENSG00000309296,ENST00000840158
ENSG00000295285,ENST00000729009
ENSG00000299852,ENST00000766850
ENSG00000295455,ENST00000730216
ENSG00000293939,ENST00000720038
ENSG00000295648,ENST00000731543
ENSG00000296644,ENST00000740970
ENSG00000293969,ENST00000720258
ENSG00000299870,ENST00000767000
ENSG00000296756,ENST00000741622
ENSG00000276932,ENST00000620032
ENSG00000302801,ENST00000789624
ENSG00000296798,ENST00000742312
ENSG00000296634,ENST00000740923
ENSG00000299885,ENST00000767201
ENSG00000297394,ENST00000747705
ENSG00000297936,ENST00000751887
ENSG00000298469,ENST00000755714
ENSG00000278633,ENST00000619792
ENSG00000278066,ENST00000620795
ENSG00000295378,ENST00000729673
ENSG00000307088,ENST00000823611
ENSG00000306901,ENST00000821887
ENSG00000309793,ENST00000843937
ENSG00000300662,ENST00000773219
ENSG00000301410,ENST00000778744
ENSG00000303548,ENST00000795504
