gene_id,canonical_tx
ENSMMUG00000023296,ENSMMUT00000032773
ENSMMUG00000036181,ENSMMUT00000051915
ENSMMUG00000000634,ENSMMUT00000094839
ENSMMUG00000037875,ENSMMUT00000086541
ENSMMUG00000000632,ENSMMUT00000000907
ENSMMUG00000064799,ENSMMUT00000085924
ENSMMUG00000057389,ENSMMUT00000088433
ENSMMUG00000031200,ENSMMUT00000044548
ENSMMUG00000052613,ENSMMUT00000082745
ENSMMUG00000031199,ENSMMUT00000027267
ENSMMUG00000053841,ENSMMUT00000104666
ENSMMUG00000017095,ENSMMUT00000014576
ENSMMUG00000025700,ENSMMUT00000035401
ENSMMUG00000049101,ENSMMUT00000054747
ENSMMUG00000048289,ENSMMUT00000065342
ENSMMUG00000017368,ENSMMUT00000024422
ENSMMUG00000055842,ENSMMUT00000103326
ENSMMUG00000031198,ENSMMUT00000044547
ENSMMUG00000062331,ENSMMUT00000082351
ENSMMUG00000049901,ENSMMUT00000098383
ENSMMUG00000064657,ENSMMUT00000088670
ENSMMUG00000005566,ENSMMUT00000058794
ENSMMUG00000064874,ENSMMUT00000095732
ENSMMUG00000039595,ENSMMUT00000014496
ENSMMUG00000038524,ENSMMUT00000001109
ENSMMUG00000049432,ENSMMUT00000085285
ENSMMUG00000050812,ENSMMUT00000089744
ENSMMUG00000059065,ENSMMUT00000024892
ENSMMUG00000064763,ENSMMUT00000104375
ENSMMUG00000053957,ENSMMUT00000100177
ENSMMUG00000062908,ENSMMUT00000093022
ENSMMUG00000057748,ENSMMUT00000104725
ENSMMUG00000051218,ENSMMUT00000081876
ENSMMUG00000050041,ENSMMUT00000107198
ENSMMUG00000052261,ENSMMUT00000086404
ENSMMUG00000054556,ENSMMUT00000092914
ENSMMUG00000060886,ENSMMUT00000057647
ENSMMUG00000062168,ENSMMUT00000105592
ENSMMUG00000059751,ENSMMUT00000108024
ENSMMUG00000018891,ENSMMUT00000026555
ENSMMUG00000056262,ENSMMUT00000083994
ENSMMUG00000038159,ENSMMUT00000007832
ENSMMUG00000005570,ENSMMUT00000007831
ENSMMUG00000006214,ENSMMUT00000008692
ENSMMUG00000056211,ENSMMUT00000101037
ENSMMUG00000049478,ENSMMUT00000109069
ENSMMUG00000062849,ENSMMUT00000098742
ENSMMUG00000064145,ENSMMUT00000088481
ENSMMUG00000059455,ENSMMUT00000086075
ENSMMUG00000016175,ENSMMUT00000022726
ENSMMUG00000016176,ENSMMUT00000022727
ENSMMUG00000058340,ENSMMUT00000109500
