GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,In_Walchli_EC,In_Yang_EC,In_Winkler_EC,Human_BBB_Datasets_N,HumanEnsembl,MouseEnsembl,Mouse_OrthoType,Mouse_PercId,MacaqueEnsembl,Macaque_OrthoType,Macaque_PercId,Human_Biotype,Mouse_Biotype,Macaque_Biotype,Human_NonCoding,Mouse_NonCoding,Macaque_NonCoding,Any_NonCoding
Abca1,ABCA1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000165029,ENSMUSG00000015243,ortholog_one2one,95.3118,ENSMMUG00000020608,ortholog_one2one,98.4962,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Abca5,ABCA5,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000154265,ENSMUSG00000018800,ortholog_one2one,90.0731,ENSMMUG00000018608,ortholog_one2one,98.4775,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Abca9,ABCA9,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000154258,ENSMUSG00000041797,ortholog_one2one,78.5714,ENSMMUG00000044129,ortholog_one2one,96.2438,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Abcb1a,ABCB1,Both,liver_only,TRUE,FALSE,TRUE,2,ENSG00000085563,ENSMUSG00000040584,ortholog_one2many,87.2656,NA,NA,NA,protein_coding,protein_coding,NA,FALSE,FALSE,FALSE,FALSE
Abcb1a,ABCB1,Both,liver_only,TRUE,FALSE,TRUE,2,ENSG00000085563,ENSMUSG00000028970,ortholog_one2many,80.5469,NA,NA,NA,protein_coding,protein_coding,NA,FALSE,FALSE,FALSE,FALSE
Abcc4,ABCC4,Both,liver_only,TRUE,TRUE,TRUE,3,ENSG00000125257,ENSMUSG00000032849,ortholog_one2one,87.0943,ENSMMUG00000021807,ortholog_one2one,97.434,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Abcc6,ABCC6,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000275331,NA,NA,NA,NA,NA,NA,protein_coding,NA,NA,FALSE,FALSE,FALSE,FALSE
Abcc9,ABCC9,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000069431,ENSMUSG00000030249,ortholog_one2one,95.2227,ENSMMUG00000020806,ortholog_one2one,98.0633,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Abcg1,ABCG1,Daneman,lung_only,TRUE,FALSE,TRUE,2,ENSG00000160179,ENSMUSG00000024030,ortholog_one2one,96.8468,ENSMMUG00000018058,ortholog_one2one,98.1982,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Abcg2,ABCG2,Munji,NA,TRUE,TRUE,TRUE,3,ENSG00000118777,ENSMUSG00000029299,ortholog_one2one,54.5038,NA,NA,NA,protein_coding,protein_coding,NA,FALSE,FALSE,FALSE,FALSE
Abhd2,ABHD2,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000140526,ENSMUSG00000039202,ortholog_one2one,98.8235,ENSMMUG00000014414,ortholog_one2one,99.7647,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Abl2,ABL2,Daneman,lung_only,TRUE,TRUE,FALSE,2,ENSG00000143322,ENSMUSG00000026596,ortholog_one2one,94.7547,ENSMMUG00000006262,ortholog_one2one,99.2386,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
Ablim1,ABLIM1,Both,liver_only,TRUE,FALSE,TRUE,2,ENSG00000099204,ENSMUSG00000025085,ortholog_one2one,86.1183,ENSMMUG00000022524,ortholog_one2one,90.3599,protein_coding,protein_coding,protein_coding,FALSE,FALSE,FALSE,FALSE
