GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,In_Walchli_EC,In_Yang_EC,In_Winkler_EC,Human_BBB_Datasets_N,HumanEnsembl,MouseEnsembl,Mouse_OrthoType,Mouse_PercId,MacaqueEnsembl,Macaque_OrthoType,Macaque_PercId
Abca1,ABCA1,Daneman,lung_only,TRUE,FALSE,FALSE,1,ENSG00000165029,ENSMUSG00000015243,ortholog_one2one,95.3118,ENSMMUG00000020608,ortholog_one2one,98.4962
Abca5,ABCA5,Daneman,liver_only,TRUE,FALSE,FALSE,1,ENSG00000154265,ENSMUSG00000018800,ortholog_one2one,90.0731,ENSMMUG00000018608,ortholog_one2one,98.4775
Abca9,ABCA9,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000154258,ENSMUSG00000041797,ortholog_one2one,78.5714,ENSMMUG00000044129,ortholog_one2one,96.2438
Abcb1a,ABCB1,Both,liver_only,TRUE,FALSE,TRUE,2,ENSG00000085563,ENSMUSG00000040584,ortholog_one2many,87.2656,NA,NA,NA
Abcb1a,ABCB1,Both,liver_only,TRUE,FALSE,TRUE,2,ENSG00000085563,ENSMUSG00000028970,ortholog_one2many,80.5469,NA,NA,NA
Abcc4,ABCC4,Both,liver_only,TRUE,TRUE,TRUE,3,ENSG00000125257,ENSMUSG00000032849,ortholog_one2one,87.0943,ENSMMUG00000021807,ortholog_one2one,97.434
Abcc6,ABCC6,Munji,NA,TRUE,FALSE,FALSE,1,ENSG00000275331,NA,NA,NA,NA,NA,NA
Abcc9,ABCC9,Daneman,liver_and_lung,TRUE,FALSE,FALSE,1,ENSG00000069431,ENSMUSG00000030249,ortholog_one2one,95.2227,ENSMMUG00000020806,ortholog_one2one,98.0633
Abcg1,ABCG1,Daneman,lung_only,TRUE,FALSE,TRUE,2,ENSG00000160179,ENSMUSG00000024030,ortholog_one2one,96.8468,ENSMMUG00000018058,ortholog_one2one,98.1982
Abcg2,ABCG2,Munji,NA,TRUE,TRUE,TRUE,3,ENSG00000118777,ENSMUSG00000029299,ortholog_one2one,54.5038,NA,NA,NA
