HumanEnsembl,Orthologue,OrthoType,PercId
ENSG00000070761,ENSMUSG00000031796,ortholog_one2one,99.4819
ENSG00000070770,ENSMUSG00000046707,ortholog_one2one,98.8571
ENSG00000070785,ENSMUSG00000028683,ortholog_one2one,91.8142
ENSG00000070831,ENSMUSG00000006699,ortholog_one2one,100
ENSG00000070961,ENSMUSG00000019943,ortholog_one2one,99.5082
ENSG00000071051,ENSMUSG00000066877,ortholog_one2one,96.0526
ENSG00000071462,ENSMUSG00000005378,ortholog_one2one,79.3594
ENSG00000071537,ENSMUSG00000020964,ortholog_one2one,92.9471
ENSG00000071553,ENSMUSG00000019087,ortholog_one2one,85.9574
ENSG00000071564,ENSMUSG00000020167,ortholog_one2one,83.1804
ENSG00000071575,ENSMUSG00000020601,ortholog_one2one,98.2507
ENSG00000071626,ENSMUSG00000069565,ortholog_one2one,98.2801
ENSG00000071794,ENSMUSG00000002428,ortholog_one2one,83.5481
ENSG00000071859,ENSMUSG00000001962,ortholog_one2one,98.2301
ENSG00000071889,ENSMUSG00000031399,ortholog_one2one,90.8696
ENSG00000071967,ENSMUSG00000027015,ortholog_one2one,75.1748
ENSG00000071994,ENSMUSG00000014771,ortholog_one2one,84.8837
ENSG00000072042,ENSMUSG00000066441,ortholog_one2one,84.5912
ENSG00000072062,ENSMUSG00000005469,ortholog_one2one,98.0057
ENSG00000072080,ENSMUSG00000026295,ortholog_one2one,65.8768
ENSG00000072110,ENSMUSG00000015143,ortholog_one2one,96.8271
ENSG00000072135,ENSMUSG00000026126,ortholog_one2one,75.2174
ENSG00000072210,ENSMUSG00000010025,ortholog_one2one,83.9175
ENSG00000072310,ENSMUSG00000020538,ortholog_one2one,80.1221
ENSG00000072364,ENSMUSG00000049470,ortholog_one2one,93.1212
ENSG00000072415,ENSMUSG00000021112,ortholog_one2one,96.7407
ENSG00000072501,ENSMUSG00000041133,ortholog_one2one,99.8378
ENSG00000072506,ENSMUSG00000025260,ortholog_one2one,87.7395
ENSG00000072518,ENSMUSG00000024969,ortholog_one2one,96.8274
ENSG00000072609,ENSMUSG00000014668,ortholog_one2one,82.2086
ENSG00000072694,ENSMUSG00000026656,ortholog_many2many,57.7419
ENSG00000072736,ENSMUSG00000031902,ortholog_one2one,89.1163
ENSG00000072778,ENSMUSG00000018574,ortholog_one2one,84.1221
ENSG00000072803,ENSMUSG00000020271,ortholog_one2one,98.579
ENSG00000072849,ENSMUSG00000018442,ortholog_one2one,98.7448
ENSG00000072958,ENSMUSG00000003033,ortholog_one2one,99.2908
ENSG00000073008,ENSMUSG00000040511,ortholog_one2one,39.5683
ENSG00000073050,ENSMUSG00000051768,ortholog_one2one,85.94
ENSG00000073060,ENSMUSG00000037936,ortholog_one2one,79.5678
ENSG00000073169,ENSMUSG00000035757,ortholog_one2one,81.0164
ENSG00000073350,ENSMUSG00000020782,ortholog_one2one,90.7843
ENSG00000073417,ENSMUSG00000025584,ortholog_one2one,79.2521
ENSG00000073578,ENSMUSG00000021577,ortholog_one2one,94.7289
ENSG00000073712,ENSMUSG00000037712,ortholog_one2one,98.2353
ENSG00000073734,ENSMUSG00000027048,ortholog_one2one,81.6805
ENSG00000073754,ENSMUSG00000015854,ortholog_one2one,69.1643
ENSG00000073803,ENSMUSG00000033618,ortholog_one2one,89.0269
ENSG00000073969,ENSMUSG00000034187,ortholog_one2one,98.1183
ENSG00000074054,ENSMUSG00000064302,ortholog_one2one,96.5362
ENSG00000074071,ENSMUSG00000038880,ortholog_one2one,89.4495
ENSG00000074201,ENSMUSG00000025439,ortholog_one2one,90.7173
ENSG00000074219,ENSMUSG00000030796,ortholog_one2one,92.4612
ENSG00000074266,ENSMUSG00000030619,ortholog_one2one,100
ENSG00000074276,ENSMUSG00000034918,ortholog_one2one,72.9008
ENSG00000074319,ENSMUSG00000014402,ortholog_one2one,94.8718
ENSG00000074416,ENSMUSG00000033174,ortholog_one2one,81.4697
ENSG00000074582,ENSMUSG00000026172,ortholog_one2one,93.7947
ENSG00000074695,ENSMUSG00000041891,ortholog_one2one,88.8235
ENSG00000074696,ENSMUSG00000033629,ortholog_one2one,91.1602
ENSG00000074800,ENSMUSG00000063524,ortholog_one2many,94.7005
ENSG00000074842,ENSMUSG00000019579,ortholog_one2one,83.237
ENSG00000074935,ENSMUSG00000019845,ortholog_one2one,91.1579
ENSG00000074964,ENSMUSG00000040964,ortholog_one2one,91.4777
ENSG00000075089,ENSMUSG00000019948,ortholog_one2one,98.4848
ENSG00000075142,ENSMUSG00000003161,ortholog_one2one,95.9596
