GeneSymbol_Human,MouseEnsembl,MacaqueEnsembl,Source,Daneman_Filter,Gene_Set,PctId_Mouse_Macaque,dN_Mouse_Macaque,dS_Mouse_Macaque,dNdS_Mouse_Macaque
ABCA1,ENSMUSG00000015243,ENSMMUG00000020608,Daneman,lung_only,BBB,88.39876488751653,0.029882238026480743,0.4640901615240127,0.06438886342332985
ABCA5,ENSMUSG00000018800,ENSMMUG00000018608,Daneman,liver_only,BBB,86.3258267397038,0.05579316957711357,0.5142650044547816,0.10849108746231897
ABCA9,ENSMUSG00000041797,ENSMMUG00000044129,Daneman,liver_and_lung,BBB,81.76410256410256,0.12317370544432238,0.5086524873101368,0.2421568920181464
ABCC4,ENSMUSG00000032849,ENSMMUG00000021807,Both,liver_only,BBB,81.57365510306687,0.07658861926042838,0.7482705105690666,0.10235418632518611
ABCC9,ENSMUSG00000030249,ENSMMUG00000020806,Daneman,liver_and_lung,BBB,85.82795698924731,0.015771395212576277,0.7376199838173404,0.021381464112395585
ABCG1,ENSMUSG00000024030,ENSMMUG00000018058,Daneman,lung_only,BBB,83.54854136776662,0.026053502959034316,0.622941584466651,0.04182334846266646
ABHD2,ENSMUSG00000039202,ENSMMUG00000014414,Munji,NA,BBB,92.01877934272301,0.004322656361456095,0.395286552484178,0.010935500674865779
ABL2,ENSMUSG00000026596,ENSMMUG00000006262,Daneman,lung_only,BBB,90.09845288326301,0.029131131604635145,0.33450740142938973,0.08708665781430955
ABLIM1,ENSMUSG00000025085,ENSMMUG00000022524,Both,liver_only,BBB,83.08285163776493,0.05879052132107761,0.46606427429468583,0.12614251845423619
ACAA2,ENSMUSG00000036880,ENSMMUG00000003040,Daneman,lung_only,BBB,83.75209380234506,0.06132993195349153,0.6062894535162625,0.10115619131719975
ACACB,ENSMUSG00000042010,ENSMMUG00000022698,Munji,NA,BBB,83.7957378367511,0.0612894593472038,0.5795362690165141,0.10575603741110694
ACAT2,ENSMUSG00000062480,ENSMMUG00000030261,Munji,NA,BBB,82.57956448911223,0.10866489529358173,0.5256977057639382,0.2067060481758639
ACAT2,ENSMUSG00000062480,ENSMMUG00000012843,Munji,NA,BBB,85.17587939698493,0.07103033154375227,0.49105989829796687,0.1446469805210041
ACAT2,ENSMUSG00000023832,ENSMMUG00000030261,Munji,NA,BBB,83.33333333333333,0.10248347331288485,0.5001464713667944,0.20490692063230842
ACAT2,ENSMUSG00000023832,ENSMMUG00000012843,Munji,NA,BBB,85.84589614740368,0.06522401998588895,0.47085536933822647,0.13852240886104666
ACBD5,ENSMUSG00000026781,ENSMMUG00000016410,Daneman,liver_only,BBB,82.00371057513915,0.09287549194737732,0.41204594815074125,0.22540081358450859
ACE,ENSMUSG00000020681,ENSMMUG00000012608,Daneman,liver_only,BBB,83.52373698908352,0.09004237596102507,0.48919515268376723,0.18406228162124003
ACE2,ENSMUSG00000015405,ENSMMUG00000014048,Daneman,liver_and_lung,BBB,85.23573200992556,0.09748113538574185,0.3703558335134402,0.2632093963823153
ACOT7,ENSMUSG00000028937,ENSMMUG00000004094,Daneman,lung_only,BBB,67.421875,0.08715616376569832,0.6702260190464013,0.130039958594422
ACSL3,ENSMUSG00000032883,ENSMMUG00000005393,Munji,NA,BBB,89.04299583911235,0.03240754469984611,0.40296557606012057,0.08042261330782026
ACSL6,ENSMUSG00000020333,ENSMMUG00000016909,Daneman,liver_only,BBB,84.93150684931507,0.07699966001695399,0.4321904433920215,0.17816141285454312
ACTL6A,ENSMUSG00000027671,ENSMMUG00000009742,Daneman,lung_only,BBB,88.6046511627907,0.005968890628591581,0.5795547268877994,0.01029909748238003
ACVRL1,ENSMUSG00000000530,ENSMMUG00000004982,Daneman,liver_only,BBB,84.75247524752476,0.06366142078287448,0.5108749132944743,0.12461254042078847
ADAMTS4,ENSMUSG00000006403,ENSMMUG00000050419,Daneman,lung_only,BBB,85.85500394011032,0.05166933316624728,0.3968544962911928,0.1301971721351868
ADAMTS9,ENSMUSG00000030022,ENSMMUG00000000265,Daneman,lung_only,BBB,86.39807162534436,0.05746023164294166,0.4689285766233391,0.12253514609133292
ADAMTSL2,ENSMUSG00000036040,ENSMMUG00000017203,Daneman,lung_only,BBB,83.80257212374,0.061103268774200095,0.6041304413225836,0.10114250929059404
ADCY9,ENSMUSG00000005580,ENSMMUG00000039943,Both,liver_only,BBB,85.57902403495994,0.042970178786726314,0.5192319390156384,0.08275719492177104
ADIPOR1,ENSMUSG00000026457,ENSMMUG00000007046,Daneman,lung_only,BBB,90.51418439716312,0.020642132432475747,0.3399111199724736,0.06072802923937108
ADK,ENSMUSG00000039197,ENSMMUG00000022237,Daneman,liver_only,BBB,87.12328767123287,0.05813021359882835,0.41811177766946184,0.13903031845417943
ADM,ENSMUSG00000030790,ENSMMUG00000016387,Daneman,lung_only,BBB,58.21596244131455,0.3565495300480277,0.9179284836101842,0.38842844122859055
AGR2,ENSMUSG00000020581,ENSMMUG00000017050,Munji,NA,BBB,87.68939393939394,0.04263330306748188,0.39761501605852706,0.10722256792536844
AGRN,ENSMUSG00000041936,ENSMMUG00000000838,Munji,NA,BBB,78.6898438757444,0.11284822128680086,0.6561271064621814,0.17199140254283235
AHNAK,ENSMUSG00000069833,ENSMMUG00000022301,Daneman,liver_only,BBB,78.37702454499916,0.08839972455362549,0.5511794609838413,0.16038283501318107
AKR1B1,ENSMUSG00000001642,ENSMMUG00000000917,Daneman,liver_and_lung,BBB,66.63920922570017,0.10451750499695478,0.5041395363284226,0.20731860420656767
ALAS1,ENSMUSG00000032786,ENSMMUG00000005596,Munji,NA,BBB,87.3509590461379,0.039207940201209185,0.47866779629130674,0.08191054527793654
ALAS2,ENSMUSG00000025270,ENSMMUG00000008429,Munji,NA,BBB,87.01814058956916,0.056349361661809275,0.4177363108065716,0.1348921800764915
ALDH1A1,ENSMUSG00000053279,ENSMMUG00000013303,Daneman,liver_only,BBB,79.92424242424242,0.08673312259976046,0.6328947259927045,0.13704194242370768
ALDH1A1,ENSMUSG00000024747,ENSMMUG00000013303,Daneman,liver_only,BBB,78.66161616161617,0.09956828390476512,0.6454673938860387,0.154257650886614
ALDH4A1,ENSMUSG00000028737,ENSMMUG00000004751,Munji,NA,BBB,86.64302600472813,0.046533724002286975,0.5060558324660218,0.09195373517488585
ALDH5A1,ENSMUSG00000035936,ENSMMUG00000019368,Munji,NA,BBB,80.8457711442786,0.08260295804083445,0.6419952431049035,0.12866599702723489
