GeneSymbol_Human,HumanEnsembl,MouseEnsembl,MacaqueEnsembl,Source,Daneman_Filter,Mouse_OrthoType,Macaque_OrthoType,Human_BBB_Datasets_N,PctId_Human_Mouse,PctId_Human_Macaque,dN_Human_Mouse,dS_Human_Mouse,dNdS_Human_Mouse,dN_Human_Macaque,dS_Human_Macaque,dNdS_Human_Macaque,Gene_Set,dN_Human_Mouse_v2,dS_Human_Mouse_v2,dNdS_Human_Mouse_v2,dN_Human_Macaque_v2,dS_Human_Macaque_v2,dNdS_Human_Macaque_v2
ABCA1,ENSG00000165029,ENSMUSG00000015243,ENSMMUG00000020608,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,88.42756183745583,96.75334214778904,0.500999932321464,1.1048082470899647,0.4534722958858104,0.5334325421057131,0.8009092994803382,0.6660336475701123,BBB,0.030651416588842864,0.47264780336466705,0.06485043698636223,0.014685222802119122,0.07823524780964429,0.18770596646987078
ABCA5,ENSG00000154265,ENSMUSG00000018800,ENSMMUG00000018608,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,86.58957192128221,98.29580036518564,0.05424998903715825,0.5047066611940836,0.1074881573958394,0.00745362127186529,0.0456952022814714,0.1631160581356614,BBB,0.0542986351960936,0.5047066611940836,0.10758454241049377,0.007460315583650676,0.045695202281471406,0.16326255736208223
ABCA9,ENSG00000154258,ENSMUSG00000041797,ENSMMUG00000044129,Daneman,liver_and_lung,ortholog_one2one,ortholog_one2one,1,81.49743589743589,97.02564102564102,0.541693723423787,1.0775828428020948,0.5026933446854003,0.01871130715065663,0.06331309346708279,0.2955361383563553,BBB,0.12567668451591432,0.5125153530842625,0.2452154530778551,0.018723829924209998,0.06333713412154894,0.29562167887605234
ABCB1,ENSG00000085563,ENSMUSG00000040584,NA,Both,liver_only,ortholog_one2many,NA,2,85.84439240176945,NA,2.0726922155120042,9.999999,0.2072692422781246,NA,NA,NA,BBB,0.0724176096689689,0.43897788428121387,0.16496869719882612,NA,NA,NA
ABCB1,ENSG00000085563,ENSMUSG00000028970,NA,Both,liver_only,ortholog_one2many,NA,2,82.4889581709535,NA,2.2065765420234573,9.999999,0.2206576762681133,NA,NA,NA,BBB,0.11074257109721725,0.4916683471473309,0.22523835780714327,NA,NA,NA
ABCC4,ENSG00000125257,ENSMUSG00000032849,ENSMMUG00000021807,Both,liver_only,ortholog_one2one,ortholog_one2one,3,81.62393162393163,97.03368526897938,0.07580403369571531,0.7461650023983002,0.10159151588732836,0.0124488217091017,0.0732996961608658,0.1698345608661342,BBB,0.07588994070610643,0.7461650023983002,0.10170664727263186,0.012462748791990018,0.0732996961608658,0.17002456278452888
ABCC6,ENSG00000275331,NA,NA,Munji,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,BBB,NA,NA,NA,NA,NA,NA
ABCC9,ENSG00000069431,ENSMUSG00000030249,ENSMMUG00000020806,Daneman,liver_and_lung,ortholog_one2one,ortholog_one2one,1,85.97849462365592,98.3010752688172,1.0258294638157306,4.609592702308828,0.22254232208019564,0.00188875618963748,0.0541263124138233,0.0348953421248611,BBB,0.015841887385514647,0.7231365013819149,0.021907188138395418,0.001890564156808347,0.0541263124138233,0.03492874486541811
ABCG1,ENSG00000160179,ENSMUSG00000024030,ENSMMUG00000018058,Daneman,lung_only,ortholog_one2one,ortholog_one2one,2,68.16161616161617,77.21212121212122,9.999999,9.999999,1,9.999999,9.999999,1,BBB,0.07782110481095747,0.7652578494230866,0.10169265806241037,0.0887792046238577,0.24961179470271327,0.35566910902424864
ABCG2,ENSG00000118777,ENSMUSG00000029299,NA,Munji,NA,ortholog_one2one,NA,3,69.29691451694487,NA,1.1623307635527758,2.1316754151949286,0.5452662986435427,NA,NA,NA,BBB,0.32204667174800605,0.6080921560010233,0.5296017529084261,NA,NA,NA
