GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,HumanEnsembl,MouseEnsembl,MacaqueEnsembl
Abca1,ABCA1,Daneman,lung_only,ENSG00000165029,ENSMUSG00000015243,ENSMMUG00000020608
Abca5,ABCA5,Daneman,liver_only,ENSG00000154265,ENSMUSG00000018800,ENSMMUG00000018608
Abca9,ABCA9,Daneman,liver_and_lung,ENSG00000154258,ENSMUSG00000041797,ENSMMUG00000044129
Abcb1a,ABCB1,Both,liver_only,ENSG00000085563,ENSMUSG00000040584,NA
Abcb1a,ABCB1,Both,liver_only,ENSG00000085563,ENSMUSG00000028970,NA
Abcc4,ABCC4,Both,liver_only,ENSG00000125257,ENSMUSG00000032849,ENSMMUG00000021807
Abcc6,ABCC6,Munji,NA,ENSG00000275331,NA,NA
Abcc6,ABCC6,Munji,NA,ENSG00000091262,ENSMUSG00000030834,ENSMMUG00000041962
Abcc9,ABCC9,Daneman,liver_and_lung,ENSG00000069431,ENSMUSG00000030249,ENSMMUG00000020806
Abcg1,ABCG1,Daneman,lung_only,ENSG00000160179,ENSMUSG00000024030,ENSMMUG00000018058
Abcg2,ABCG2,Munji,NA,ENSG00000118777,ENSMUSG00000029299,NA
Abhd2,ABHD2,Munji,NA,ENSG00000140526,ENSMUSG00000039202,ENSMMUG00000014414
Abl2,ABL2,Daneman,lung_only,ENSG00000143322,ENSMUSG00000026596,ENSMMUG00000006262
Ablim1,ABLIM1,Both,liver_only,ENSG00000099204,ENSMUSG00000025085,ENSMMUG00000022524
Acaa2,ACAA2,Daneman,lung_only,ENSG00000167315,ENSMUSG00000036880,ENSMMUG00000003040
Acacb,ACACB,Munji,NA,ENSG00000076555,ENSMUSG00000042010,ENSMMUG00000022698
Acadl,ACADL,Daneman,lung_only,ENSG00000115361,ENSMUSG00000026003,NA
Acat2,ACAT2,Munji,NA,ENSG00000120437,ENSMUSG00000062480,ENSMMUG00000030261
Acat2,ACAT2,Munji,NA,ENSG00000120437,ENSMUSG00000062480,ENSMMUG00000012843
Acat2,ACAT2,Munji,NA,ENSG00000120437,ENSMUSG00000023832,ENSMMUG00000030261
