GeneSymbol_Human,HumanEnsembl,MouseEnsembl,MacaqueEnsembl,Source,Daneman_Filter,Mouse_OrthoType,Macaque_OrthoType,Human_BBB_Datasets_N,PctId_Human_Mouse,PctId_Human_Macaque,dN_Human_Mouse,dS_Human_Mouse,dNdS_Human_Mouse,dN_Human_Macaque,dS_Human_Macaque,dNdS_Human_Macaque,Gene_Set
ABCA1,ENSG00000165029,ENSMUSG00000015243,ENSMMUG00000020608,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,88.42756183745583,96.75334214778904,0.500999932321464,1.1048082470899647,0.4534722958858104,0.5334325421057131,0.8009092994803382,0.6660336475701123,BBB
ABCA5,ENSG00000154265,ENSMUSG00000018800,ENSMMUG00000018608,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,86.58957192128221,98.29580036518564,0.05424998903715825,0.5047066611940836,0.1074881573958394,0.007453621271865298,0.045695202281471406,0.1631160581356614,BBB
ABCA9,ENSG00000154258,ENSMUSG00000041797,ENSMMUG00000044129,Daneman,liver_and_lung,ortholog_one2one,ortholog_one2one,1,81.49743589743589,97.02564102564102,0.541693723423787,1.0775828428020948,0.5026933446854003,0.018711307150656633,0.06331309346708279,0.2955361383563553,BBB
ABCB1,ENSG00000085563,ENSMUSG00000040584,NA,Both,liver_only,ortholog_one2many,NA,2,85.84439240176945,NA,2.0726922155120038,9.999999,0.2072692422781246,NA,NA,NA,BBB
ABCB1,ENSG00000085563,ENSMUSG00000028970,NA,Both,liver_only,ortholog_one2many,NA,2,82.4889581709535,NA,2.2065765420234573,9.999999,0.22065767626811333,NA,NA,NA,BBB
ABCC4,ENSG00000125257,ENSMUSG00000032849,ENSMMUG00000021807,Both,liver_only,ortholog_one2one,ortholog_one2one,3,81.62393162393163,97.03368526897938,0.07580403369571531,0.7461650023983002,0.10159151588732836,0.012448821709101705,0.0732996961608658,0.1698345608661342,BBB
ABCC6,ENSG00000275331,NA,NA,Munji,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,BBB
ABCC9,ENSG00000069431,ENSMUSG00000030249,ENSMMUG00000020806,Daneman,liver_and_lung,ortholog_one2one,ortholog_one2one,1,85.97849462365592,98.3010752688172,1.0258294638157306,4.609592702308828,0.22254232208019564,0.0018887561896374807,0.0541263124138233,0.0348953421248611,BBB
ABCG1,ENSG00000160179,ENSMUSG00000024030,ENSMMUG00000018058,Daneman,lung_only,ortholog_one2one,ortholog_one2one,2,68.16161616161617,77.21212121212122,9.999999,9.999999,1,9.999999,9.999999,1,BBB
ABCG2,ENSG00000118777,ENSMUSG00000029299,NA,Munji,NA,ortholog_one2one,NA,3,69.29691451694487,NA,1.1623307635527758,2.1316754151949286,0.5452662986435427,NA,NA,NA,BBB
ABHD2,ENSG00000140526,ENSMUSG00000039202,ENSMMUG00000014414,Munji,NA,ortholog_one2one,ortholog_one2one,1,91.54929577464789,97.96557120500782,0.005629575038590368,0.3952461648701523,0.014243212304007597,0.001214329680800634,0.07036650332086088,0.017257212217345372,BBB
ABL2,ENSG00000143322,ENSMUSG00000026596,ENSMMUG00000006262,Daneman,lung_only,ortholog_one2one,ortholog_one2one,2,90.32348804500704,98.53479853479854,0.1801864394642379,0.5786305792986566,0.3114015157695905,0.003748774200372452,0.04037465792062597,0.09284968327762196,BBB
ABLIM1,ENSG00000099204,ENSMUSG00000025085,ENSMMUG00000022524,Both,liver_only,ortholog_one2one,ortholog_one2one,2,84.87654320987654,89.94895956026699,0.7214974476593781,1.6487304516562284,0.4376078860765866,2.9190498724538263,9.999999,0.29190501643588423,BBB
ACAA2,ENSG00000167315,ENSMUSG00000036880,ENSMMUG00000003040,Daneman,lung_only,ortholog_one2one,ortholog_one2one,1,83.66834170854271,97.65494137353434,0.06494950424926599,0.5973101472378622,0.10873664971139632,0.011768770559504788,0.06040403879112412,0.19483416663910416,BBB
ACACB,ENSG00000076555,ENSMUSG00000042010,ENSMMUG00000022698,Munji,NA,ortholog_one2one,ortholog_one2one,2,84.66856445709638,96.08631550730465,2.3438632581854435,9.999999,0.23438634925717927,1.5621840920755257,9.999999,0.15621842482939505,BBB
ACADL,ENSG00000115361,ENSMUSG00000026003,NA,Daneman,lung_only,ortholog_one2one,NA,1,83.75870069605568,NA,0.06994544430408103,0.6218148901611704,0.11248595910263845,NA,NA,NA,BBB
ACAT2,ENSG00000120437,ENSMUSG00000062480,ENSMMUG00000030261,Munji,NA,ortholog_one2many,ortholog_one2many,1,85.17587939698493,94.55611390284757,0.07578022536253465,0.4815904507327422,0.15735408633463283,0.04888539632119766,0.08284884560561068,0.5900552501830763,BBB
ACAT2,ENSG00000120437,ENSMUSG00000062480,ENSMMUG00000012843,Munji,NA,ortholog_one2many,ortholog_one2many,1,85.17587939698493,96.90117252931323,0.07578022536253465,0.4815904507327422,0.15735408633463283,0.0203612626995794,0.06253430587378146,0.32560148249948345,BBB
ACAT2,ENSG00000120437,ENSMUSG00000023832,ENSMMUG00000030261,Munji,NA,ortholog_one2many,ortholog_one2many,1,86.01340033500837,94.55611390284757,0.06487963793600389,0.4704668776845782,0.13790479418086063,0.04888539632119766,0.08284884560561068,0.5900552501830763,BBB
ACAT2,ENSG00000120437,ENSMUSG00000023832,ENSMMUG00000012843,Munji,NA,ortholog_one2many,ortholog_one2many,1,86.01340033500837,96.90117252931323,0.06487963793600389,0.4704668776845782,0.13790479418086063,0.0203612626995794,0.06253430587378146,0.32560148249948345,BBB
ACBD5,ENSG00000107897,ENSMUSG00000026781,ENSMMUG00000016410,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,78.10218978102189,94.01709401709402,1.7941025076699906,9.999999,0.17941026870802593,0.7997091982030646,1.265936642808708,0.6317134453338565,BBB
ACE,ENSG00000159640,ENSMUSG00000020681,ENSMMUG00000012608,Daneman,liver_only,ortholog_one2one,ortholog_one2one,1,84.006092916984,96.55963302752293,2.1238063549657773,9.999999,0.21238065673464337,2.1781553486484575,9.999999,0.2178155566464014,BBB
ACE2,ENSG00000130234,ENSMUSG00000015405,ENSMMUG00000014048,Daneman,liver_and_lung,ortholog_one2one,ortholog_one2one,0,85.23573200992556,96.98097601323408,0.09950574525618433,0.37025071402832926,0.2687523385804214,0.023337490998897842,0.051871014849365224,0.44991390792469593,BBB
ACOT2,ENSG00000119673,ENSMUSG00000042540,NA,Munji,NA,ortholog_many2many,NA,1,69.49035812672176,NA,2.4519347835952248,9.999999,0.24519350287887273,NA,NA,NA,BBB
ACOT2,ENSG00000119673,ENSMUSG00000021226,NA,Munji,NA,ortholog_many2many,NA,1,74.86225895316804,NA,2.9824270184326283,2.0785190698401346,1.4348807579918024,NA,NA,NA,BBB
ACOT2,ENSG00000119673,ENSMUSG00000072949,NA,Munji,NA,ortholog_many2many,NA,1,70.11019283746556,NA,2.3523145593327004,9.999999,0.23523147945641798,NA,NA,NA,BBB
