gene_id,canonical_tx
ENSMUSG00000064336,ENSMUST00000082387
ENSMUSG00000064337,ENSMUST00000082388
ENSMUSG00000064338,ENSMUST00000082389
ENSMUSG00000064339,ENSMUST00000082390
ENSMUSG00000064340,ENSMUST00000082391
ENSMUSG00000064341,ENSMUST00000082392
ENSMUSG00000064342,ENSMUST00000082393
ENSMUSG00000064343,ENSMUST00000082394
ENSMUSG00000064344,ENSMUST00000082395
ENSMUSG00000064345,ENSMUST00000082396
ENSMUSG00000064346,ENSMUST00000082397
ENSMUSG00000064347,ENSMUST00000082398
ENSMUSG00000064348,ENSMUST00000082399
ENSMUSG00000064349,ENSMUST00000082400
ENSMUSG00000064350,ENSMUST00000082401
ENSMUSG00000064351,ENSMUST00000082402
ENSMUSG00000064352,ENSMUST00000082403
ENSMUSG00000064353,ENSMUST00000082404
ENSMUSG00000064354,ENSMUST00000082405
ENSMUSG00000064355,ENSMUST00000082406
ENSMUSG00000064356,ENSMUST00000082407
ENSMUSG00000064357,ENSMUST00000082408
ENSMUSG00000064358,ENSMUST00000082409
ENSMUSG00000064359,ENSMUST00000082410
ENSMUSG00000064360,ENSMUST00000082411
ENSMUSG00000064361,ENSMUST00000082412
ENSMUSG00000065947,ENSMUST00000084013
ENSMUSG00000064363,ENSMUST00000082414
ENSMUSG00000064364,ENSMUST00000082415
ENSMUSG00000064365,ENSMUST00000082416
ENSMUSG00000064366,ENSMUST00000082417
ENSMUSG00000064367,ENSMUST00000082418
ENSMUSG00000064368,ENSMUST00000082419
ENSMUSG00000064369,ENSMUST00000082420
ENSMUSG00000064370,ENSMUST00000082421
ENSMUSG00000064371,ENSMUST00000082422
ENSMUSG00000064372,ENSMUST00000082423
ENSMUSG00002075400,ENSMUST00020181715
ENSMUSG00000095019,ENSMUST00000178569
ENSMUSG00002076890,ENSMUST00020183073
ENSMUSG00002074899,ENSMUST00020181793
ENSMUSG00002074970,ENSMUST00020182238
ENSMUSG00000096776,ENSMUST00000177783
ENSMUSG00000095250,ENSMUST00000179211
ENSMUSG00000094915,ENSMUST00000179715
ENSMUSG00000094303,ENSMUST00000110576
ENSMUSG00002075729,ENSMUST00020182428
ENSMUSG00000079800,ENSMUST00000096862
ENSMUSG00000094741,ENSMUST00000178291
ENSMUSG00000094836,ENSMUST00000097490
ENSMUSG00000079222,ENSMUST00000111423
ENSMUSG00000096244,ENSMUST00000177979
ENSMUSG00000094722,ENSMUST00000180291
ENSMUSG00000095666,ENSMUST00000178466
ENSMUSG00000095787,ENSMUST00000179124
ENSMUSG00000074720,ENSMUST00000099245
ENSMUSG00000095092,ENSMUST00000177562
ENSMUSG00000096236,ENSMUST00000177853
ENSMUSG00000096100,ENSMUST00000179890
ENSMUSG00000094874,ENSMUST00000178199
ENSMUSG00000096680,ENSMUST00000177991
ENSMUSG00000094054,ENSMUST00000179487
ENSMUSG00000079192,ENSMUST00000111364
ENSMUSG00000095672,ENSMUST00000178603
ENSMUSG00000095500,ENSMUST00000178309
ENSMUSG00000095505,ENSMUST00000178335
ENSMUSG00000094383,ENSMUST00000168953
ENSMUSG00000095041,ENSMUST00000178343
ENSMUSG00000079794,ENSMUST00000115931
ENSMUSG00000096756,ENSMUST00000177719
ENSMUSG00000094337,ENSMUST00000179140
